DateUnix;DateLong;Close;Deflator
33027;1990-06-03;462.100006;16.69108439
33028;1990-06-04;465.600006;16.56561447
33029;1990-06-05;464.600006;16.60127011
33030;1990-06-06;465;16.58698967
33031;1990-06-07;464.100006;16.61915556
33032;1990-06-08;460.899994;16.73454176
33033;1990-06-09;460.899994;16.73454176
33034;1990-06-10;460.899994;16.73454176
33035;1990-06-11;462.799988;16.66583923
33036;1990-06-12;466.600006;16.53011165
33037;1990-06-13;468.899994;16.44903027
33038;1990-06-14;467.100006;16.51241725
33039;1990-06-15;467.600006;16.49476068
33040;1990-06-16;467.600006;16.49476068
33041;1990-06-17;467.600006;16.49476068
33042;1990-06-18;460.799988;16.7381736
33043;1990-06-19;460.5;16.74907751
33044;1990-06-20;460.799988;16.7381736
33045;1990-06-21;461.299988;16.72003121
33046;1990-06-22;459.299988;16.79283779
33047;1990-06-23;459.299988;16.79283779
33048;1990-06-24;459.299988;16.79283779
33049;1990-06-25;455.600006;16.92921443
33050;1990-06-26;455.399994;16.93664975
33051;1990-06-27;456.899994;16.88104683
33052;1990-06-28;460.399994;16.75271567
33053;1990-06-29;462.299988;16.68386415
33054;1990-06-30;462.299988;16.68386415
33055;1990-07-01;462.299988;16.68386415
33056;1990-07-02;462;16.69469739
33057;1990-07-03;461.799988;16.7019281
33058;1990-07-04;461.799988;16.7019281
33059;1990-07-05;459.200012;16.79649389
33060;1990-07-06;460.5;16.74907751
33061;1990-07-07;460.5;16.74907751
33062;1990-07-08;460.5;16.74907751
33063;1990-07-09;461.700012;16.70554471
33064;1990-07-10;461;16.73091149
33065;1990-07-11;463.899994;16.62632096
33066;1990-07-12;467.200012;16.5088827
33067;1990-07-13;468.399994;16.46658901
33068;1990-07-14;468.399994;16.46658901
33069;1990-07-15;468.399994;16.46658901
33070;1990-07-16;469.600006;16.42451043
33071;1990-07-17;464.5;16.60484434
33072;1990-07-18;460.799988;16.7381736
33073;1990-07-19;458.200012;16.83315145
33074;1990-07-20;455.299988;16.94036986
33075;1990-07-21;455.299988;16.94036986
33076;1990-07-22;455.299988;16.94036986
33077;1990-07-23;444.600006;17.34806588
33078;1990-07-24;442.600006;17.4264575
33079;1990-07-25;445.5;17.31301952
33080;1990-07-26;445.399994;17.31690682
33081;1990-07-27;442.600006;17.4264575
33082;1990-07-28;442.600006;17.4264575
33083;1990-07-29;442.600006;17.4264575
33084;1990-07-30;439.399994;17.55336891
33085;1990-07-31;438.200012;17.60143766
33086;1990-08-01;435.899994;17.69431131
33087;1990-08-02;428.899994;17.983097
33088;1990-08-03;417.5;18.4741322
33089;1990-08-04;417.5;18.4741322
33090;1990-08-05;417.5;18.4741322
33091;1990-08-06;400;19.28237549
33092;1990-08-07;402.100006;19.18167142
33093;1990-08-08;407.700012;18.91819958
33094;1990-08-09;413;18.6754242
33095;1990-08-10;408;18.90428969
33096;1990-08-11;408;18.90428969
33097;1990-08-12;408;18.90428969
33098;1990-08-13;408.299988;18.89040025
33099;1990-08-14;410.299988;18.79831933
33100;1990-08-15;411.5;18.74349987
33101;1990-08-16;402.299988;19.17213628
33102;1990-08-17;393.5;19.60088995
33103;1990-08-18;393.5;19.60088995
33104;1990-08-19;393.5;19.60088995
33105;1990-08-20;388.600006;19.84804446
33106;1990-08-21;379.700012;20.31327351
33107;1990-08-22;374.799988;20.57884323
33108;1990-08-23;360.200012;21.41296485
33109;1990-08-24;367.299988;20.99904832
33110;1990-08-25;367.299988;20.99904832
33111;1990-08-26;367.299988;20.99904832
33112;1990-08-27;381.299988;20.22803682
33113;1990-08-28;382.899994;20.14351088
33114;1990-08-29;381.799988;20.20154646
33115;1990-08-30;378.700012;20.36691299
33116;1990-08-31;381.200012;20.23334195
33117;1990-09-01;381.200012;20.23334195
33118;1990-09-02;381.200012;20.23334195
33119;1990-09-03;381.200012;20.23334195
33120;1990-09-04;381.700012;20.20683771
33121;1990-09-05;382.399994;20.16984915
33122;1990-09-06;378.799988;20.36153759
33123;1990-09-07;380.399994;20.27589463
33124;1990-09-08;380.399994;20.27589463
33125;1990-09-09;380.399994;20.27589463
33126;1990-09-10;381.700012;20.20683771
33127;1990-09-11;379.5;20.32397943
33128;1990-09-12;380.299988;20.2812265
33129;1990-09-13;376.200012;20.5022593
33130;1990-09-14;374.399994;20.60082884
33131;1990-09-15;374.399994;20.60082884
33132;1990-09-16;374.399994;20.60082884
33133;1990-09-17;374.100006;20.61734849
33134;1990-09-18;372.200012;20.72259523
33135;1990-09-19;371.700012;20.75047066
33136;1990-09-20;364.399994;21.16616444
33137;1990-09-21;362.299988;21.28885026
33138;1990-09-22;362.299988;21.28885026
33139;1990-09-23;362.299988;21.28885026
33140;1990-09-24;352.200012;21.89934677
33141;1990-09-25;354.799988;21.73886825
33142;1990-09-26;350;22.03700056
33143;1990-09-27;341.200012;22.6053632
33144;1990-09-28;344.5;22.38882495
33145;1990-09-29;344.5;22.38882495
33146;1990-09-30;344.5;22.38882495
33147;1990-10-01;354.700012;21.74499559
33148;1990-10-02;356.399994;21.64127476
33149;1990-10-03;351.5;21.9429593
33150;1990-10-04;349.899994;22.04329902
33151;1990-10-05;347.399994;22.20192956
33152;1990-10-06;347.399994;22.20192956
33153;1990-10-07;347.399994;22.20192956
33154;1990-10-08;348.100006;22.15728257
33155;1990-10-09;339.100006;22.74535553
33156;1990-10-10;333.299988;23.14116553
33157;1990-10-11;325.600006;23.68842154
33158;1990-10-12;327.600006;23.54380358
