iter	Passed	Remaining
895	12194	1415
896	12207	1401
897	12220	1388
898	12233	1374
899	12246	1360
900	12258	1346
901	12272	1333
902	12284	1319
903	12298	1305
904	12311	1292
905	12327	1279
906	12342	1265
907	12355	1251
908	12371	1238
909	12385	1224
910	12400	1211
911	12415	1197
912	12429	1184
913	12443	1170
914	12460	1157
915	12475	1144
916	12489	1130
917	12503	1116
918	12517	1103
919	12531	1089
920	12544	1076
921	12558	1062
922	12571	1048
923	12584	1035
924	12597	1021
925	12613	1007
926	12627	994
927	12641	980
928	12657	967
929	12670	953
930	12686	940
931	12700	926
932	12714	913
933	12730	899
934	12745	886
935	12761	872
936	12776	859
937	12790	845
938	12806	831
939	12821	818
940	12837	804
941	12852	791
942	12867	777
943	12881	764
944	12897	750
945	12912	737
946	12927	723
947	12941	709
948	12955	696
949	12972	682
950	12986	669
951	13003	655
952	13017	642
953	13033	628
954	13051	614
955	13068	601
956	13085	587
957	13100	574
958	13112	560
959	13127	546
960	13141	533
961	13155	519
962	13170	506
963	13185	492
964	13200	478
965	13215	465
966	13231	451
967	13244	437
968	13257	424
969	13270	410
970	13286	396
971	13300	383
972	13316	369
973	13330	355
974	13344	342
975	13357	328
976	13371	314
977	13384	301
978	13396	287
979	13409	273
980	13421	259
981	13434	246
982	13448	232
983	13461	218
984	13474	205
985	13488	191
986	13501	177
987	13514	164
988	13527	150
989	13540	136
990	13552	123
991	13564	109
992	13577	95
993	13590	82
994	13604	68
995	13618	54
996	13633	41
997	13649	27
998	13664	13
999	13680	0
